"name","year","battle_number","attacker_king","defender_king","attacker_1","attacker_2","attacker_3","attacker_4","defender_1","defender_2","defender_3","defender_4","attacker_outcome","battle_type","major_death","major_capture","attacker_size","defender_size","attacker_commander","defender_commander","summer","location","region","note"
"Battle of the Golden Tooth","298","1","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Tully","","","","win","pitched battle","1","0","15000","4000","Jaime Lannister","Clement Piper, Vance","1","Golden Tooth","The Westerlands",""
"Battle at the Mummer's Ford","298","2","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Baratheon","","","","win","ambush","1","0","","120","Gregor Clegane","Beric Dondarrion","1","Mummer's Ford","The Riverlands",""
"Battle of Riverrun","298","3","Joffrey/Tommen Baratheon","Robb Stark","Lannister","","","","Tully","","","","win","pitched battle","0","1","15000","10000","Jaime Lannister, Andros Brax","Edmure Tully, Tytos Blackwood","1","Riverrun","The Riverlands",""
"Battle of the Green Fork","298","4","Robb Stark","Joffrey/Tommen Baratheon","Stark","","","","Lannister","","","","loss","pitched battle","1","1","18000","20000","Roose Bolton, Wylis Manderly, Medger Cerwyn, Harrion Karstark, Halys Hornwood","Tywin Lannister, Gregor Clegane, Kevan Lannister, Addam Marbrand","1","Green Fork","The Riverlands",""
"Battle of the Whispering Wood","298","5","Robb Stark","Joffrey/Tommen Baratheon","Stark","Tully","","","Lannister","","","","win","ambush","1","1","1875","6000","Robb Stark, Brynden Tully","Jaime Lannister","1","Whispering Wood","The Riverlands",""
"Battle of the Camps","298","6","Robb Stark","Joffrey/Tommen Baratheon","Stark","Tully","","","Lannister","","","","win","ambush","0","0","6000","12625","Robb Stark, Tytos Blackwood, Brynden Tully","Lord Andros Brax, Forley Prester","1","Riverrun","The Riverlands",""
"Battle of Moat Cailin","299","8","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","pitched battle","0","0","","","Victarion Greyjoy","","1","Moat Cailin","The North",""
"Battle of Deepwood Motte","299","9","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","siege","0","0","1000","","Asha Greyjoy","","1","Deepwood Motte","The North",""
"Battle of the Stony Shore","299","10","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","ambush","0","0","264","","Theon Greyjoy","","1","Stony Shore","The North","Greyjoy's troop number based on the Battle of Deepwood Motte, in which Asha had 1000 soldier on 30 longships. That comes out to ~33 per longship. In the Battle of the Stony Shore, Theon has 8 longships, and just we can estimate that he has 8*33 =265 troops."
"Battle of Torrhen's Square","299","11","Robb Stark","Balon/Euron Greyjoy","Stark","","","","Greyjoy","","","","win","pitched battle","0","0","244","900","Rodrik Cassel, Cley Cerwyn","Dagmer Cleftjaw","1","Torrhen's Square","The North","Greyjoy's troop number comes from the 264 estimate to have arrived on the stony shore minus the 20 Theon takes to attack Winterfell. Thus 264-20=244"
"Battle of Winterfell","299","12","Balon/Euron Greyjoy","Robb Stark","Greyjoy","","","","Stark","","","","win","ambush","0","1","20","","Theon Greyjoy","Bran Stark","1","Winterfell","The North","It isn't mentioned how many Stark men are left in Winterfell, other than ""very few""."
"Sack of Torrhen's Square","299","13","Balon/Euron Greyjoy","Balon/Euron Greyjoy","Greyjoy","","","","Stark","","","","win","siege","0","1","","","Dagmer Cleftjaw","","1","Torrhen's Square","The North",""
"Sack of Winterfell","299","14","Joffrey/Tommen Baratheon","Robb Stark","Bolton","Greyjoy","","","Stark","","","","win","ambush","1","0","618","2000","Ramsay Snow, Theon Greyjoy ","Rodrik Cassel, Cley Cerwyn, Leobald Tallhart","1","Winterfell","The North","Since House Bolton betrays the Starks for House Lannister, we code this battle as between these two houses. Greyjoy men, numbering only 20, don't play a major part in the fighting and end up dying anyway."
"Battle of Oxcross","299","15","Robb Stark","Joffrey/Tommen Baratheon","Stark","Tully","","","Lannister","","","","win","ambush","1","1","6000","10000","Robb Stark, Brynden Tully","Stafford Lannister, Roland Crakehall, Antario Jast","1","Oxcross","The Westerlands",""
"Siege of Storm's End","299","16","Stannis Baratheon","Renly Baratheon","Baratheon","","","","Baratheon","","","","win","siege","1","0","5000","20000","Stannis Baratheon, Davos Seaworth","Renly Baratheon, Cortnay Penrose, Loras Tyrell, Randyll Tarly, Mathis Rowan","1","Storm's End","The Stormlands",""
